coverage_estimate,year,state
90.3,2015,OK
94.1,2015,OR
91.7,2015,PA
95.7,2015,RI
96.5,2015,SC
97.1,2015,SD
95.1,2015,TN
97.4,2015,TX
94.0,2015,UT
92.7,2015,VT
93.4,2015,VA
89.4,2015,WA
97.6,2015,WV
91.6,2015,WI
96.8,2015,WY
93.1,2016,AL
93.5,2016,AK
94.2,2016,AZ
90.8,2016,AR
94.5,2016,CA
87.1,2016,CO
97.0,2016,CT
97.6,2016,DE
88.5,2016,
93.7,2016,FL
94.6,2016,GA
91.6,2016,HI
90.2,2016,ID
94.9,2016,IL
89.2,2016,IN
91.8,2016,IA
89.4,2016,KS
92.2,2016,KY
96.8,2016,LA
95.1,2016,ME
99.4,2016,MD
96.4,2016,MA
95.7,2016,MI
92.8,2016,MN
99.4,2016,MS
95.7,2016,MO
94.9,2016,MT
95.6,2016,NE
94.7,2016,NV
91.9,2016,NH
96.3,2016,NJ
96.2,2016,NM
95.6,2016,NY
97.3,2016,NC
90.7,2016,ND
92.1,2016,OH
94.4,2016,OK
93.9,2016,OR
95.5,2016,PA
96.4,2016,RI
96.5,2016,SC
96.5,2016,SD
93.5,2016,TN
97.6,2016,TX
94.2,2016,UT
93.6,2016,VT
95.7,2016,VA
91.0,2016,WA
95.2,2016,WV
93.2,2016,WI
96.9,2016,WY
93.8,2017,AL
89.0,2017,AK
94.0,2017,AZ
91.9,2017,AR
97.3,2017,CA
87.3,2017,CO
96.7,2017,CT
98.5,2017,DE
94.1,2017,FL
93.3,2017,GA
93.5,2017,HI
89.9,2017,ID
94.9,2017,IL
88.9,2017,IN
92.6,2017,IA
89.5,2017,KS
90.8,2017,KY
97.1,2017,LA
94.9,2017,ME
97.9,2017,MD
96.1,2017,MA
95.6,2017,MI
92.8,2017,MN
99.4,2017,MS
95.4,2017,MO
93.8,2017,MT
96.7,2017,NE
90.9,2017,NV
91.5,2017,NH
96.5,2017,NJ
95.5,2017,NM
97.3,2017,NY
96.2,2017,NC
93.8,2017,ND
92.6,2017,OH
,2017,OK
93.8,2017,OR
93.6,2017,PA
95.1,2017,RI
96.0,2017,SC
96.7,2017,SD
96.9,2017,TN
97.3,2017,TX
93.8,2017,UT
93.6,2017,VT
94.1,2017,VA
90.5,2017,WA
95.9,2017,WV
94.0,2017,WI
,2017,WY
92.7,2018,AL
91.6,2018,AK
93.4,2018,AZ
91.9,2018,AR
96.9,2018,CA
88.7,2018,CO
96.5,2018,CT
96.7,2018,DE
93.7,2018,FL
93.4,2018,GA
95.6,2018,HI
89.5,2018,ID
95.2,2018,IL
90.4,2018,IN
93.0,2018,IA
89.1,2018,KS
92.6,2018,KY
96.1,2018,LA
94.3,2018,ME
97.4,2018,MD
96.3,2018,MA
95.0,2018,MI
92.5,2018,MN
99.4,2018,MS
95.2,2018,MO
93.2,2018,MT
96.2,2018,NE
93.0,2018,NV
92.4,2018,NH
96.1,2018,NJ
94.8,2018,NM
97.2,2018,NY
97.0,2018,NC
94.2,2018,ND
92.1,2018,OH
92.6,2018,OK
93.2,2018,OR
96.7,2018,PA
96.4,2018,RI
96.3,2018,SC
96.6,2018,SD
96.9,2018,TN
96.9,2018,TX
93.4,2018,UT
94.1,2018,VT
95.5,2018,VA
90.6,2018,WA
98.4,2018,WV
91.8,2018,WI
,2018,WY
90.6,2019,AL
92.9,2019,AZ
94.2,2019,AR
96.5,2019,CA
87.4,2019,CO
95.9,2019,CT
97.8,2019,DE
93.8,2019,FL
93.6,2019,GA
91.5,2019,HI
89.5,2019,ID
94.7,2019,IL
91.2,2019,IN
93.3,2019,IA
90.8,2019,KS
93.4,2019,KY
95.5,2019,LA
93.8,2019,ME
97.4,2019,MD
96.9,2019,MA
94.6,2019,MI
92.6,2019,MN
99.2,2019,MS
94.8,2019,MO
93.3,2019,MT
96.9,2019,NE
95.1,2019,NV
91.8,2019,NH
95.0,2019,NJ
96.1,2019,NM
97.2,2019,NY
93.2,2019,NC
93.6,2019,ND
91.6,2019,OH
92.2,2019,OK
93.0,2019,OR
96.4,2019,PA
97.4,2019,RI
94.2,2019,SC
96.2,2019,SD
96.5,2019,TN
96.9,2019,TX
92.8,2019,UT
93.0,2019,VT
95.0,2019,VA
90.8,2019,WA
98.8,2019,WV
92.6,2019,WI
95.1,2019,WY
86.6,2020,AL
NR,2020,AK
92.8,2020,AZ
94.3,2020,AR
96.5,2020,CA
91.1,2020,CO
96.2,2020,CT
,2020,DE
,2020,
93.5,2020,FL
93.1,2020,GA
89.7,2020,HI
89.1,2020,ID
96.6,2020,IL
94.4,2020,IN
93.2,2020,IA
90.0,2020,KS
93.1,2020,KY
95.6,2020,LA
94.1,2020,ME
97.9,2020,MD
97.3,2020,MA
94.8,2020,MI
92.6,2020,MN
99.1,2020,MS
94.6,2020,MO
93.6,2020,MT
96.3,2020,NE
95.4,2020,NV
91.5,2020,NH
95.9,2020,NJ
97.0,2020,NM
98.6,2020,NY
95.5,2020,NC
94.8,2020,ND
92.4,2020,OH
93.0,2020,OK
93.4,2020,OR
96.6,2020,PA
97.7,2020,RI
95.0,2020,SC
96.0,2020,SD
96.8,2020,TN
96.9,2020,TX
92.7,2020,UT
94.5,2020,VT
94.6,2020,VA
94.4,2020,WA
98.2,2020,WV
92.8,2020,WI
94.5,2020,WY
94.7,2021,AL
91.9,2021,AZ
93.2,2021,AR
95.1,2021,CA
90.5,2021,CO
95.3,2021,CT
95.7,2021,DE
78.9,2021,
93.3,2021,FL
88.5,2021,GA
90.7,2021,HI
86.5,2021,ID
NR,2021,IL
93.1,2021,IN
93.4,2021,IA
92.6,2021,KS
88.9,2021,KY
96.2,2021,LA
94.3,2021,ME
87.6,2021,MD
95.9,2021,MA
94.6,2021,MI
89.8,2021,MN
98.9,2021,MS
92.6,2021,MO
92.9,2021,MT
95.5,2021,NE
96.1,2021,NV
90.8,2021,NH
94.3,2021,NJ
95.7,2021,NM
98.3,2021,NY
95.2,2021,NC
93.3,2021,ND
89.6,2021,OH
90.5,2021,OK
92.7,2021,OR
95.5,2021,PA
97.0,2021,RI
94.4,2021,SC
94.6,2021,SD
96.6,2021,TN
95.3,2021,TX
91.4,2021,UT
94.0,2021,VT
95.8,2021,VA
94.4,2021,WA
NR,2021,WV
87.2,2021,WI
90.2,2021,WY
94.9,2022,AL
78.0,2022,AK
90.6,2022,AZ
92.5,2022,AR
96.3,2022,CA
88.4,2022,CO
95.7,2022,CT
96.4,2022,DE
82.0,2022,
91.7,2022,FL
83.2,2022,GA
94.3,2022,HI
83.9,2022,ID
92.1,2022,IL
92.1,2022,IN
90.6,2022,IA
91.0,2022,KS
86.5,2022,KY
93.7,2022,LA
96.7,2022,ME
93.9,2022,MD
96.2,2022,MA
93.6,2022,MI
89.0,2022,MN
98.6,2022,MS
91.6,2022,MO
96.2,2022,NE
92.7,2022,NV
88.7,2022,NH
94.1,2022,NJ
94.3,2022,NM
98.0,2022,NY
96.1,2022,NC
91.5,2022,ND
88.3,2022,OH
90.9,2022,OK
93.0,2022,OR
95.0,2022,PA
97.3,2022,RI
92.7,2022,SC
93.7,2022,SD
95.8,2022,TN
94.0,2022,TX
90.0,2022,UT
93.4,2022,VT
95.5,2022,VA
92.5,2022,WA
96.5,2022,WV
82.6,2022,WI
92.9,2022,WY
93.8,2024,AL
84.3,2024,AK
89.3,2024,AZ
92.5,2024,AR
96.2,2024,CA
88.3,2024,CO
97.7,2024,CT
93.8,2024,DE
92.0,2024,
88.1,2024,FL
88.4,2024,GA
89.8,2024,HI
79.6,2024,ID
91.6,2024,IL
90.8,2024,IN
89.1,2024,IA
90.4,2024,KS
90.0,2024,KY
92.4,2024,LA
97.5,2024,ME
96.6,2024,MD
96.3,2024,MA
92.1,2024,MI
87.0,2024,MN
97.5,2024,MS
90.4,2024,MO
93.9,2024,NE
91.9,2024,NV
89.2,2024,NH
93.2,2024,NJ
95.0,2024,NM
97.7,2024,NY
93.8,2024,NC
90.9,2024,ND
89.2,2024,OH
88.3,2024,OK
91.2,2024,OR
93.5,2024,PA
97.1,2024,RI
92.1,2024,SC
90.8,2024,SD
95.1,2024,TN
94.3,2024,TX
88.8,2024,UT
92.9,2024,VT
94.2,2024,VA
91.3,2024,WA
98.3,2024,WV
84.8,2024,WI
93.5,2024,WY
95.6,2025,VA
90.9,2025,WA
84.8,2025,WI
93.6,2025,WY
95.2,2025,AL
81.2,2025,AK
88.6,2025,AZ
89.6,2025,AR
96.1,2025,CA
88.0,2025,CO
98.2,2025,CT
94.1,2025,DE
92.7,2025,
88.8,2025,FL
86.8,2025,GA
90.1,2025,HI
78.5,2025,ID
91.8,2025,IL
90.8,2025,IN
88.8,2025,IA
91.0,2025,KS
86.9,2025,KY
92.6,2025,LA
97.6,2025,ME
96.4,2025,MD
96.6,2025,MA
91.6,2025,MI
86.5,2025,MN
97.6,2025,MS
90.0,2025,MO
94.2,2025,NE
91.3,2025,NV
89.2,2025,NH
92.8,2025,NJ
94.8,2025,NM
97.8,2025,NY
94.2,2025,NC
90.0,2025,ND
88.3,2025,OH
88.7,2025,OK
90.5,2025,OR
92.4,2025,PA
96.7,2025,RI
91.2,2025,SC
90.0,2025,SD
94.4,2025,TN
93.2,2025,TX
88.6,2025,UT
93.5,2025,VT
89.3,2026,HI
75.2,2026,ID
92.8,2026,IL
88.1,2026,OH
87.8,2026,OK
89.6,2026,OR
92.7,2026,PA
87.2,2026,UT
93.8,2026,VT
93.6,2026,VA
90.6,2026,WA
98.9,2026,WV
85.1,2026,WI
92.6,2026,WY
90.1,2026,IN
88.9,2026,IA
,2026,KS
91.1,2026,KY
90.3,2026,LA
98.0,2026,ME
96.6,2026,MD
96.5,2026,MA
90.9,2026,MI
85.7,2026,MN
97.0,2026,MS
89.5,2026,MO
92.8,2026,NE
90.8,2026,NV
88.2,2026,NH
92.5,2026,NJ
95.1,2026,NM
97.7,2026,NY
97.1,2026,
93.7,2026,NC
88.5,2026,ND
96.7,2026,RI
93.4,2026,SC
89.3,2026,SD
94.4,2026,TN
93.2,2026,TX
94.3,2026,AL
89.9,2026,AK
87.4,2026,AZ
91.5,2026,AR
95.7,2026,CA
87.7,2026,CO
98.6,2026,CT
93.5,2026,DE
88.9,2026,FL
89.1,2026,GA
