year,state,measles_cases,mumps_cases
2008,MI,4.0,22.0
2008,MN,,9.0
2008,MO,1.0,8.0
2008,MS,,
2008,MT,,1.0
2008,NC,,6.0
2008,ND,,2.0
2008,NE,,4.0
2008,NH,,5.0
2008,NJ,1.0,13.0
2008,NM,1.0,
2008,NV,,6.0
2008,NY,30.0,37.0
2008,OH,,23.0
2008,OK,,1.0
2008,OR,1.0,1.0
2008,PA,1.0,21.0
2008,RI,,
2008,SC,,
2008,SD,,1.0
2008,TN,,2.0
2008,TX,,20.0
2008,UT,,4.0
2008,VA,1.0,9.0
2008,VT,,1.0
2008,WA,19.0,14.0
2008,WI,6.0,13.0
2008,WV,,1.0
2008,WY,,
2009,AK,,6.0
2009,AL,,6.0
2009,AR,,4.0
2009,AZ,,10.0
2009,CA,9.0,16.0
2009,CO,,6.0
2009,CT,,1.0
2009,DC,2.0,2.0
2009,DE,,1.0
2009,FL,5.0,18.0
2009,GA,1.0,
2009,HI,,5.0
2009,IA,1.0,15.0
2009,ID,,3.0
2009,IL,,47.0
2009,IN,,2.0
2009,KS,,7.0
2009,KY,,1.0
2009,LA,,1.0
2009,MA,2.0,15.0
2009,MD,4.0,8.0
2009,ME,,6.0
2009,MI,,11.0
2009,MN,1.0,7.0
2009,MO,6.0,15.0
2009,MS,,1.0
2009,MT,,
2009,NC,,4.0
2009,ND,,
2009,NE,,7.0
2009,NH,,
2009,NJ,2.0,200.0
2009,NM,,1.0
2009,NV,,3.0
2009,NY,18.0,1453.0
2009,OH,1.0,6.0
2009,OK,,3.0
2009,OR,,2.0
2009,PA,14.0,15.0
2009,RI,,3.0
2009,SC,,2.0
2009,SD,,2.0
2009,TN,1.0,5.0
2009,TX,1.0,40.0
2009,UT,,4.0
2009,VA,1.0,9.0
2009,VT,,2.0
2009,WA,1.0,6.0
2009,WI,,9.0
2009,WV,1.0,1.0
2009,WY,,
2010,AK,,1.0
2010,AL,,6.0
2010,AR,,5.0
2010,AZ,1.0,5.0
2010,CA,27.0,29.0
2010,CO,,8.0
2010,CT,1.0,11.0
2010,DC,,3.0
2010,DE,,
2010,FL,1.0,10.0
2010,GA,1.0,5.0
2010,HI,4.0,5.0
2010,IA,,38.0
2010,ID,,1.0
2010,IL,,31.0
2010,IN,,4.0
2010,KS,,5.0
2010,KY,1.0,1.0
2010,LA,,8.0
2010,MA,3.0,9.0
2010,MD,,12.0
2010,ME,,2.0
2010,MI,,20.0
2010,MN,3.0,8.0
2010,MO,3.0,10.0
2010,MS,,
2010,MT,,
2010,NC,,10.0
2010,ND,,
2010,NE,,23.0
2010,NH,,3.0
2010,NJ,,354.0
2010,NM,,2.0
2010,NV,1.0,1.0
2010,NY,8.0,663.0
2010,OH,2.0,24.0
2010,OK,,1.0
2010,OR,,3.0
2010,PA,2.0,69.0
2010,RI,,
2010,SC,,4.0
2010,SD,,2.0
2010,TN,,3.0
