year,state,measles_cases,mumps_cases,pertussis_cases
2014,NM,,1.0,333.0
2014,NV,,2.0,119.0
2014,NY,,10.0,843.0
2014,OH,,545.0,1449.0
2014,OK,,4.0,122.0
2014,OR,,1.0,397.0
2014,PA,,14.0,755.0
2014,RI,,,93.0
2014,SC,,2.0,157.0
2014,SD,,,108.0
2014,TN,,4.0,314.0
2014,TX,,15.0,2346.0
2014,UT,,1.0,810.0
2014,VA,,17.0,455.0
2014,VT,,,42.0
2014,WA,,5.0,463.0
2014,WI,,62.0,1094.0
2014,WV,,1.0,16.0
2014,WY,,,53.0
2015,AK,,2.0,164.0
2015,AL,,2.0,279.0
2015,AR,,6.0,259.0
2015,AZ,,11.0,575.0
2015,CA,,32.0,6951.0
2015,CO,,6.0,1280.0
2015,CT,,4.0,72.0
2015,DC,,16.0,22.0
2015,DE,,2.0,205.0
2015,FL,,11.0,721.0
2015,GA,,,321.0
2015,HI,,2.0,41.0
2015,IA,,213.0,189.0
2015,ID,,12.0,368.0
2015,IL,,398.0,640.0
2015,IN,,23.0,438.0
2015,KS,,2.0,379.0
2015,KY,,4.0,268.0
2015,LA,,2.0,73.0
2015,MA,,8.0,247.0
2015,MD,,21.0,173.0
2015,ME,,,532.0
2015,MI,,17.0,1272.0
2015,MN,,21.0,515.0
2015,MO,,6.0,521.0
2015,MS,,1.0,69.0
2015,MT,,1.0,478.0
2015,NC,,4.0,727.0
2015,ND,,1.0,45.0
2015,NE,,2.0,496.0
2015,NH,,2.0,79.0
2015,NJ,,32.0,363.0
2015,NM,,2.0,333.0
2015,NV,,2.0,119.0
2015,NY,,23.0,870.0
2015,OH,,551.0,1465.0
2015,OK,,4.0,122.0
2015,OR,,2.0,573.0
2015,PA,,17.0,820.0
2015,RI,,3.0,93.0
2015,SC,,2.0,157.0
2015,SD,,,108.0
2015,TN,,4.0,320.0
2015,TX,,20.0,2374.0
2015,UT,,1.0,810.0
2015,VA,,33.0,464.0
2015,VT,,1.0,42.0
2015,WA,,6.0,1324.0
2015,WI,,62.0,1126.0
2015,WV,,1.0,69.0
2015,WY,,,53.0
2016,AK,,2.0,144.0
2016,AL,,3.0,160.0
2016,AR,,2122.0,57.0
2016,AZ,,7.0,581.0
2016,CA,,79.0,2792.0
2016,CO,,13.0,948.0
2016,CT,,38.0,81.0
2016,DC,,10.0,11.0
2016,DE,,2.0,18.0
2016,FL,,16.0,342.0
2016,GA,,3.0,180.0
2016,HI,,6.0,51.0
2016,IA,,678.0,147.0
2016,ID,,8.0,193.0
2016,IL,,413.0,899.0
2016,IN,,236.0,201.0
2016,KS,,10.0,390.0
2016,KY,,91.0,478.0
2016,LA,,2.0,54.0
2016,MA,,248.0,218.0
2016,MD,,16.0,127.0
2016,ME,,33.0,273.0
2016,MI,,19.0,445.0
2016,MN,,22.0,791.0
2016,MO,,70.0,264.0
2016,MS,,2.0,20.0
2016,MT,,26.0,232.0
2016,NC,,31.0,361.0
2016,ND,,13.0,38.0
2016,NE,,49.0,585.0
2016,NH,,10.0,50.0
2016,NJ,,32.0,462.0
2016,NM,,2.0,203.0
2016,NV,,3.0,98.0
2016,NY,,204.0,646.0
2016,OH,,72.0,963.0
2016,OK,,404.0,121.0
2016,OR,,20.0,578.0
2016,PA,,14.0,1454.0
2016,RI,,3.0,71.0
2016,SC,,6.0,180.0
2016,SD,,2.0,14.0
2016,TN,,5.0,180.0
2016,TX,,122.0,1401.0
2016,UT,,1.0,403.0
2016,VA,,34.0,334.0
2016,VT,,1.0,272.0
2016,WA,,48.0,1324.0
2016,WI,,42.0,1212.0
2016,WV,,1.0,74.0
2016,WY,,,28.0
2017,AK,,120.0,43.0
2017,AL,,36.0,223.0
2017,AR,,537.0,196.0
2017,AZ,,35.0,417.0
2017,CA,,97.0,1742.0
2017,CO,,82.0,677.0
2017,CT,,13.0,56.0
2017,DC,,11.0,17.0
2017,DE,,3.0,9.0
2017,FL,,74.0,392.0
2017,GA,,59.0,163.0
2017,HI,,755.0,31.0
2017,IA,,118.0,153.0
2017,ID,,6.0,84.0
2017,IL,,260.0,423.0
2017,IN,,38.0,347.0
2017,KS,,162.0,179.0
2017,KY,,17.0,401.0
2017,LA,,15.0,49.0
2017,MA,,174.0,303.0
2017,MD,,5.0,105.0
2017,ME,,1.0,369.0
2017,MI,,25.0,582.0
2017,MN,,77.0,556.0
2017,MO,,457.0,430.0
2017,MS,,26.0,34.0
2017,MT,,6.0,104.0
2017,NC,,36.0,340.0
2017,ND,,12.0,51.0
2017,NE,,5.0,93.0
2017,NH,,5.0,61.0
2017,NJ,,34.0,361.0
2017,NM,,4.0,153.0
2017,NV,,5.0,77.0
2017,NY,,290.0,532.0
2017,OH,,56.0,855.0
2017,OK,,168.0,143.0
2017,OR,,66.0,218.0
2017,PA,,122.0,900.0
2017,RI,,19.0,54.0
2017,SC,,5.0,159.0
2017,SD,,,8.0
2017,TN,,69.0,191.0
2017,TX,,423.0,1483.0
2017,UT,,40.0,363.0
2017,VA,,35.0,210.0
2017,VT,,1.0,103.0
2017,WA,,752.0,594.0
2017,WI,,52.0,609.0
2017,WV,,2.0,13.0
2017,WY,,,18.0
