year,state,measles_cases,mumps_cases,pertussis_cases
1998,MD,1.0,2.0,59.0
1998,ME,,,5.0
1998,MI,10.0,30.0,71.0
1998,MN,,13.0,342.0
1998,MO,,4.0,46.0
1998,MS,,6.0,3.0
1998,MT,,,13.0
1998,NC,,11.0,104.0
1998,ND,,2.0,42.0
1998,NE,,,20.0
1998,NH,,,127.0
1998,NJ,8.0,3.0,12.0
1998,NM,,,98.0
1998,NV,,14.0,47.0
1998,OH,1.0,29.0,291.0
1998,OK,,3.0,31.0
1998,OR,,,96.0
1998,PA,4.0,18.0,228.0
1998,RI,,1.0,16.0
1998,SC,,7.0,27.0
1998,SD,,,8.0
1998,TN,1.0,2.0,37.0
1998,TX,,39.0,237.0
1998,UT,,6.0,263.0
1998,VA,2.0,10.0,51.0
1998,VT,1.0,,77.0
1998,WA,1.0,11.0,331.0
1998,WI,1.0,,38.0
1998,WV,,5.0,4.0
1998,WY,,1.0,8.0
1999,AK,29.0,3.0,15.0
1999,AL,1.0,11.0,32.0
1999,AR,5.0,12.0,96.0
1999,AZ,5.0,8.0,224.0
1999,CA,19.0,108.0,958.0
1999,CO,1.0,7.0,257.0
1999,CT,2.0,3.0,46.0
1999,DC,,2.0,1.0
1999,DE,1.0,,6.0
1999,FL,2.0,22.0,97.0
1999,GA,2.0,4.0,40.0
1999,HI,2.0,24.0,34.0
1999,IA,1.0,11.0,77.0
1999,ID,,7.0,246.0
1999,IL,1.0,12.0,129.0
1999,IN,3.0,6.0,151.0
1999,KS,,3.0,66.0
1999,KY,2.0,1.0,50.0
1999,LA,1.0,11.0,10.0
1999,MA,8.0,4.0,686.0
1999,MD,1.0,7.0,108.0
1999,ME,,,19.0
1999,MI,10.0,31.0,71.0
1999,MN,1.0,13.0,353.0
1999,MO,1.0,4.0,65.0
1999,MS,,6.0,4.0
1999,MT,,,13.0
1999,NC,1.0,11.0,110.0
1999,ND,,2.0,45.0
1999,NE,,,20.0
1999,NH,1.0,1.0,127.0
1999,NJ,8.0,3.0,12.0
1999,NM,,,220.0
1999,NV,1.0,14.0,41.0
1999,OH,1.0,29.0,324.0
1999,OK,,1.0,31.0
1999,OR,9.0,,90.0
1999,PA,4.0,19.0,229.0
1999,RI,,2.0,38.0
1999,SC,,7.0,29.0
1999,SD,,,8.0
1999,TN,1.0,2.0,45.0
1999,TX,9.0,39.0,237.0
1999,UT,2.0,7.0,266.0
1999,VA,18.0,10.0,51.0
1999,VT,1.0,1.0,86.0
1999,WA,1.0,11.0,620.0
1999,WI,1.0,2.0,52.0
1999,WV,,,4.0
1999,WY,,1.0,8.0
2000,AK,1.0,7.0,22.0
2000,AL,,11.0,21.0
2000,AR,5.0,5.0,36.0
2000,AZ,1.0,8.0,143.0
2000,CA,17.0,90.0,936.0
2000,CO,3.0,5.0,457.0
2000,CT,2.0,3.0,48.0
2000,DC,,2.0,3.0
2000,DE,,,9.0
2000,FL,2.0,16.0,102.0
2000,GA,,4.0,40.0
2000,HI,3.0,14.0,34.0
2000,IA,2.0,8.0,79.0
2000,ID,,4.0,141.0
2000,IL,4.0,13.0,102.0
2000,IN,2.0,5.0,126.0
2000,KS,2.0,4.0,40.0
2000,KY,2.0,1.0,56.0
2000,LA,,11.0,12.0
2000,MA,8.0,4.0,1151.0
2000,MD,,10.0,136.0
2000,ME,,,45.0
2000,MI,3.0,17.0,125.0
2000,MN,1.0,1.0,398.0
2000,MO,,5.0,110.0
2000,MS,,3.0,2.0
2000,MT,,1.0,35.0
2000,NC,1.0,9.0,111.0
2000,ND,,1.0,18.0
2000,NE,,4.0,33.0
2000,NH,3.0,1.0,128.0
2000,NJ,,4.0,43.0
2000,NM,,1.0,221.0
2000,NV,7.0,6.0,15.0
2000,OH,3.0,21.0,392.0
2000,OK,,1.0,41.0
2000,OR,9.0,,114.0
2000,PA,1.0,19.0,220.0
2000,RI,,2.0,38.0
2000,SC,,11.0,41.0
2000,SD,,,11.0
2000,TN,,2.0,45.0
2000,TX,9.0,29.0,249.0
2000,UT,3.0,7.0,61.0
2000,VA,18.0,11.0,115.0
2000,VT,3.0,1.0,252.0
2000,WA,3.0,11.0,625.0
2000,WI,,2.0,82.0
2000,WV,,,4.0
2000,WY,,4.0,6.0
2001,AK,,1.0,11.0
2001,AL,,,37.0
2001,AR,,1.0,47.0
2001,AZ,1.0,1.0,637.0
2001,CA,36.0,46.0,495.0
2001,CO,,3.0,344.0
2001,CT,1.0,,17.0
2001,DC,,,1.0
2001,FL,,8.0,29.0
2001,GA,1.0,7.0,27.0
2001,HI,7.0,41.0,43.0
2001,IA,,1.0,81.0
2001,ID,2.0,2.0,171.0
2001,IL,3.0,11.0,80.0
2001,IN,4.0,3.0,96.0
2001,KS,1.0,6.0,30.0
2001,KY,2.0,3.0,84.0
2001,LA,,2.0,3.0
2001,MA,3.0,,389.0
2001,MD,3.0,7.0,45.0
2001,ME,,,21.0
2001,MI,,5.0,139.0
2001,MN,3.0,5.0,207.0
2001,MO,3.0,4.0,108.0
2001,MS,,5.0,4.0
2001,MT,,1.0,54.0
2001,NC,,5.0,74.0
2001,ND,,,5.0
2001,NE,,1.0,7.0
2001,NH,,,39.0
2001,NJ,1.0,4.0,22.0
2001,NM,,2.0,145.0
2001,NV,,3.0,40.0
2001,OH,3.0,1.0,326.0
2001,OK,1.0,,33.0
2001,OR,4.0,,53.0
2001,PA,6.0,4.0,86.0
2001,RI,,,6.0
2001,SC,,7.0,34.0
2001,SD,,,5.0
2001,TN,,1.0,63.0
2001,TX,1.0,11.0,460.0
2001,UT,,1.0,76.0
2001,VA,1.0,8.0,142.0
2001,VT,1.0,,107.0
2001,WA,15.0,2.0,171.0
2001,WI,,,98.0
2001,WV,,,4.0
2001,WY,,2.0,2.0
2002,AK,,,5.0
2002,AL,12.0,3.0,37.0
2002,AR,,,489.0
2002,AZ,,1.0,706.0
2002,CA,3.0,67.0,702.0
2002,CO,,3.0,432.0
2002,CT,,1.0,27.0
2002,DC,,,2.0
2002,DE,,,4.0
2002,FL,2.0,8.0,53.0
2002,GA,3.0,4.0,22.0
2002,HI,2.0,16.0,17.0
2002,IA,,1.0,143.0
2002,ID,1.0,2.0,152.0
2002,IL,,15.0,166.0
2002,IN,2.0,5.0,152.0
2002,KS,,6.0,64.0
2002,KY,,4.0,93.0
2002,LA,,1.0,7.0
2002,MA,,2.0,511.0
2002,MD,,5.0,65.0
2002,ME,,1.0,17.0
2002,MI,,8.0,60.0
2002,MN,2.0,4.0,379.0
2002,MO,2.0,5.0,144.0
2002,MS,,5.0,9.0
2002,MT,,,9.0
2002,NC,,2.0,45.0
2002,ND,,1.0,3.0
2002,NE,,,8.0
2002,NH,,4.0,61.0
2002,NJ,,1.0,4.0
2002,NM,,1.0,188.0
2002,NV,1.0,6.0,48.0
2002,OH,1.0,14.0,443.0
2002,OK,,,66.0
2002,OR,3.0,,192.0
2002,PA,,17.0,116.0
2002,RI,,,16.0
2002,SC,,3.0,43.0
2002,SD,,,6.0
2002,TN,,2.0,114.0
2002,TX,2.0,16.0,1025.0
2002,UT,1.0,8.0,107.0
2002,VA,,4.0,159.0
2002,VT,,,166.0
2002,WA,,,472.0
2002,WI,,1.0,125.0
2002,WV,,,32.0
2002,WY,,,11.0
2003,AK,,,7.0
2003,AL,,,17.0
2003,AR,,,37.0
2003,AZ,,,126.0
2003,CA,,,735.0
